分类,English,德语/German,意大利语/Italian,西班牙语/Spanish,法语/French,波兰语/Polish,荷兰语/Dutch,爱尔兰语/Irish,日语/Japanese,阿拉伯语/Arabic,葡萄牙语/Portuguese
故障排查,"⚡Won't recharge? - Let's see if we can fix this quickly.  · Make sure you're using the correct input port  · Try a different charging cable, 18W or higher wall charger, power outlet  · Leave the power bank charging for at least 30 minutes, then check the battery indicator again","⚡Lädt sich nicht wieder auf? – Lassen Sie uns sehen, ob wir das schnell beheben können. · Stellen Sie sicher, dass Sie den richtigen Eingangsport verwenden · Anderes Ladekabel, 18W+ Wandladegerät, Steckdose ausprobieren · Powerbank mindestens 30 Minuten laden lassen, dann Batterieanzeige erneut prüfen","⚡Non si ricarica? – Vediamo se possiamo risolverlo rapidamente. · Assicurati di utilizzare la porta di ingresso corretta · Prova un cavo di ricarica diverso, caricatore da parete da 18W o superiore, presa di corrente · Lascia caricare il power bank per almeno 30 minuti, poi controlla di nuovo l'indicatore della batteria","⚡¿No se recarga? – Veamos si podemos solucionarlo rápidamente. · Asegúrate de usar el puerto de entrada correcto · Prueba otro cable de carga, cargador de pared de 18W o más, enchufe · Deja cargar la batería externa al menos 30 minutos, luego verifica el indicador de batería de nuevo","⚡Ne se recharge pas ? – Voyons si nous pouvons résoudre cela rapidement. · Assurez-vous d'utiliser le bon port d'entrée · Essayez un autre câble de charge, un chargeur mural de 18W ou plus, une prise électrique · Laissez la batterie externe charger pendant au moins 30 minutes, puis vérifiez à nouveau l'indicateur de batterie","⚡Nie ładuje się ponownie? – Sprawdźmy, czy możemy to szybko naprawić. · Upewnij się, że używasz właściwego portu wejściowego · Wypróbuj inny kabel ładujący, ładowarkę ścienną 18W+, gniazdko · Pozostaw power bank do ładowania na co najmniej 30 minut, a następnie sprawdź wskaźnik baterii","⚡Laadt niet opnieuw op? – Laten we kijken of we dit snel kunnen oplossen. · Zorg dat je de juiste ingangspoort gebruikt · Probeer een andere oplaadkabel, 18W+ wandoplader, stopcontact · Laat de powerbank minstens 30 minuten opladen en controleer de batterij-indicator opnieuw","⚡Ní athluchtaíonn? – Féachaimis an féidir linn é seo a réiteach go tapa. · Cinntigh go bhfuil tú ag úsáid an phort ionchuir cheart · Bain triail as cábla luchtaithe eile, luchtaire balla 18W nó níos airde, asraon cumhachta · Fág an banc cumhachta ag luchtú ar feadh 30 nóiméad ar a laghad, ansin seiceáil an táscaire ceallraí arís",⚡再充電されない？––すぐに解決できるか確認しましょう。· 正しい入力ポートを使用していることを確認する · 別の充電ケーブル、18W以上の壁掛け充電器、電源コンセントを試す · モバイルバッテリーを少なくとも30分間充電してから、バッテリーインジケーターを再度確認する,⚡لا يعيد الشحن؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة. · تأكد من أنك تستخدم منفذ الإدخال الصحيح · جرب كابل شحن مختلف، وشاحن جداري 18W أو أعلى، ومقبس طاقة · اترك بنك الطاقة يشحن لمدة 30 دقيقة على الأقل، ثم تحقق من مؤشر البطارية مرة أخرى,"⚡Não recarrega? – Vamos ver se podemos resolver isso rapidamente. · Certifique-se de usar a porta de entrada correta · Tente um cabo de carregamento diferente, carregador de parede de 18W+, tomada · Deixe o power bank carregando por pelo menos 30 minutos e verifique o indicador de bateria novamente"
故障排查,"⚡Slow charge? - Let's see if we can fix this quickly.💡 A Quick Note on Charging SpeedsUnder the same charging protocol, your charging speed is decided by the device with the lowest max speed.For example, if your phone supports 20W and your power bank supports 45W, your phone will charge at 20W to protect its battery.1. If the power bank cannot fast charge a phone: 1) Try another cable and USB output port2) Estimated Charging Time (hours) ≈ (Battery Capacity (mAh) ÷ 1000 × 3.85V) ÷ Charging Power (W) + 0.5 hoursExample: An iPhone 12 has a battery capacity of 2,815 mAh and supports up to 20W wired charging. Even when using a 45W power bank, the phone can only charge at up to 20W.Estimated charging time: 2,815 ÷ 1,000 × 3.85 ÷ 20 + 0.5 ≈ 1 hourNotes:① 3.85V = Typical voltage of a smartphone battery② Charging Power (W) = The maximum charging power supported by your phone③ Actual charging time may vary depending on the phone, cable, battery level, temperature, and other charging conditions1. If the power bank itself cannot be fast charged:1) Use a 18W or higher adapter and another cable to recharge it again2) Estimated Recharging Time(hour) ≈ Charging Time (hours) ≈ Power Bank Energy (Wh) ÷ (Adapter Power (W) × 80%) + 0.5 hoursExample: for a 10,000mAh (37Wh) power bank using an 18W adapter: 37Wh ÷ (18W × 80%) + 0.5 ≈ 3 hoursNotes:① Wh (Watt-hours) = The total energy capacity of the power bank② 80% = An estimated charging efficiency. Some energy is lost during the charging process③ Actual charging time may vary depending on the adapter, cable, power bank, temperature, and other charging conditions","⚡Langsames Laden? – Lassen Sie uns sehen, ob wir das schnell beheben können.💡 Ein kurzer Hinweis zu LadegeschwindigkeitenBeim gleichen Ladeprotokoll wird Ihre Ladegeschwindigkeit durch das Gerät mit der niedrigsten Maximalgeschwindigkeit bestimmt.Wenn Ihr Telefon beispielsweise 20W unterstützt und Ihre Powerbank 45W, lädt Ihr Telefon zum Schutz des Akkus mit 20W.1. Wenn die Powerbank ein Telefon nicht schnellladen kann: 1) Anderes Kabel und USB-Ausgangsport ausprobieren2) Geschätzte Ladezeit (Stunden) ≈ (Akkukapazität (mAh) ÷ 1000 × 3,85V) ÷ Ladeleistung (W) + 0,5 StundenBeispiel: Ein iPhone 12 hat eine Akkukapazität von 2.815 mAh und unterstützt bis zu 20W kabelgebundenes Laden. Selbst mit einer 45W-Powerbank kann das Telefon nur mit bis zu 20W laden.Geschätzte Ladezeit: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 StundeHinweise:① 3,85V = Typische Spannung eines Smartphone-Akkus② Ladeleistung (W) = Die maximal von Ihrem Telefon unterstützte Ladeleistung③ Die tatsächliche Ladezeit kann je nach Telefon, Kabel, Akkustand, Temperatur und anderen Ladebedingungen variieren1. Wenn die Powerbank selbst nicht schnellgeladen werden kann:1) Verwenden Sie einen 18W+ Adapter und ein anderes Kabel zum erneuten Aufladen2) Geschätzte Wiederaufladezeit (Stunden) ≈ Powerbank-Energie (Wh) ÷ (Adapterleistung (W) × 80%) + 0,5 StundenBeispiel: Für eine 10.000mAh (37Wh) Powerbank mit einem 18W-Adapter: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 StundenHinweise:① Wh (Wattstunden) = Die gesamte Energiekapazität der Powerbank② 80% = Eine geschätzte Ladeeffizienz. Ein Teil der Energie geht beim Laden verloren③ Die tatsächliche Ladezeit kann je nach Adapter, Kabel, Powerbank, Temperatur und anderen Ladebedingungen variieren","⚡Ricarica lenta? – Vediamo se possiamo risolverlo rapidamente.💡 Una nota rapida sulle velocità di ricaricaCon lo stesso protocollo di ricarica, la velocità è determinata dal dispositivo con la velocità massima più bassa.Ad esempio, se il tuo telefono supporta 20W e il tuo power bank 45W, il telefono si caricherà a 20W per proteggere la batteria.1. Se il power bank non riesce a caricare rapidamente un telefono: 1) Prova un altro cavo e porta USB2) Tempo di ricarica stimato (ore) ≈ (Capacità batteria (mAh) ÷ 1000 × 3,85V) ÷ Potenza di ricarica (W) + 0,5 oreEsempio: Un iPhone 12 ha una capacità di 2.815 mAh e supporta fino a 20W di ricarica cablata. Anche con un power bank da 45W, il telefono può caricare solo fino a 20W.Tempo di ricarica stimato: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 oraNote:① 3,85V = Tensione tipica di una batteria smartphone② Potenza di ricarica (W) = La potenza massima supportata dal telefono③ Il tempo effettivo può variare in base a telefono, cavo, livello batteria, temperatura e altre condizioni1. Se il power bank stesso non può essere caricato rapidamente:1) Usa un adattatore da 18W+ e un altro cavo per ricaricarlo2) Tempo di ricarica stimato (ore) ≈ Energia power bank (Wh) ÷ (Potenza adattatore (W) × 80%) + 0,5 oreEsempio: per un power bank da 10.000mAh (37Wh) con adattatore 18W: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 oreNote:① Wh = Capacità energetica totale del power bank② 80% = Efficienza di ricarica stimata. Parte dell'energia viene persa durante la ricarica③ Il tempo effettivo può variare","⚡¿Carga lenta? – Veamos si podemos solucionarlo rápidamente.💡 Una nota rápida sobre velocidades de cargaBajo el mismo protocolo de carga, la velocidad la determina el dispositivo con la velocidad máxima más baja.Por ejemplo, si tu teléfono admite 20W y tu batería externa 45W, tu teléfono cargará a 20W para proteger su batería.1. Si la batería externa no puede cargar rápidamente un teléfono: 1) Prueba otro cable y puerto USB2) Tiempo de carga estimado (horas) ≈ (Capacidad de batería (mAh) ÷ 1000 × 3,85V) ÷ Potencia de carga (W) + 0,5 horasEjemplo: Un iPhone 12 tiene 2.815 mAh y admite hasta 20W de carga por cable. Incluso con una batería externa de 45W, el teléfono solo puede cargar hasta 20W.Tiempo estimado: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 horaNotas:① 3,85V = Voltaje típico de batería de smartphone② Potencia de carga (W) = Potencia máxima admitida por tu teléfono③ El tiempo real puede variar según el teléfono, cable, nivel de batería, temperatura y otras condiciones1. Si la batería externa no puede cargarse rápidamente:1) Usa un adaptador de 18W+ y otro cable para recargarla2) Tiempo de recarga estimado (horas) ≈ Energía (Wh) ÷ (Potencia del adaptador (W) × 80%) + 0,5 horasEjemplo: batería de 10.000mAh (37Wh) con adaptador 18W: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 horasNotas:① Wh = Capacidad energética total de la batería externa② 80% = Eficiencia de carga estimada. Parte de la energía se pierde durante la carga③ El tiempo real puede variar","⚡Charge lente ? – Voyons si nous pouvons résoudre cela rapidement.💡 Une note rapide sur les vitesses de chargeAvec le même protocole de charge, votre vitesse est déterminée par l'appareil ayant la vitesse maximale la plus basse.Par exemple, si votre téléphone prend en charge 20W et votre batterie externe 45W, votre téléphone chargera à 20W pour protéger sa batterie.1. Si la batterie externe ne peut pas charger rapidement un téléphone : 1) Essayez un autre câble et port USB2) Temps de charge estimé (heures) ≈ (Capacité batterie (mAh) ÷ 1000 × 3,85V) ÷ Puissance de charge (W) + 0,5 heureExemple : Un iPhone 12 a une capacité de 2.815 mAh et prend en charge jusqu'à 20W en charge filaire. Même avec une batterie externe 45W, le téléphone ne peut charger qu'à 20W.Temps estimé : 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 heureNotes :① 3,85V = Tension typique d'une batterie de smartphone② Puissance de charge (W) = Puissance maximale prise en charge par votre téléphone③ Le temps réel peut varier selon le téléphone, le câble, le niveau de batterie, la température, etc.1. Si la batterie externe elle-même ne peut pas être chargée rapidement :1) Utilisez un adaptateur 18W+ et un autre câble pour la recharger2) Temps de recharge estimé (heures) ≈ Énergie (Wh) ÷ (Puissance adaptateur (W) × 80%) + 0,5 heureExemple : batterie 10.000mAh (37Wh) avec adaptateur 18W : 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 heuresNotes :① Wh = Capacité énergétique totale de la batterie externe② 80% = Efficacité de charge estimée. Une partie de l'énergie est perdue pendant la charge③ Le temps réel peut varier","⚡Wolne ładowanie? – Sprawdźmy, czy możemy to szybko naprawić.💡 Szybka uwaga o prędkościach ładowaniaPrzy tym samym protokole ładowania prędkość zależy od urządzenia o najniższej maksymalnej prędkości.Np. jeśli Twój telefon obsługuje 20W, a power bank 45W, telefon będzie ładował się z mocą 20W, aby chronić baterię.1. Jeśli power bank nie może szybko naładować telefonu: 1) Wypróbuj inny kabel i port USB2) Szacowany czas ładowania (godz.) ≈ (Pojemność baterii (mAh) ÷ 1000 × 3,85V) ÷ Moc ładowania (W) + 0,5 godz.Przykład: iPhone 12 ma pojemność 2.815 mAh i obsługuje do 20W ładowania przewodowego. Nawet z power bankiem 45W telefon naładuje się maksymalnie 20W.Szacowany czas: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 godz.Uwagi:① 3,85V = Typowe napięcie baterii smartfona② Moc ładowania (W) = Maksymalna moc obsługiwana przez telefon③ Rzeczywisty czas może się różnić w zależności od telefonu, kabla, poziomu baterii, temperatury itp.1. Jeśli sam power bank nie może być szybko ładowany:1) Użyj adaptera 18W+ i innego kabla do ponownego naładowania2) Szacowany czas ładowania (godz.) ≈ Energia power banku (Wh) ÷ (Moc adaptera (W) × 80%) + 0,5 godz.Przykład: power bank 10.000mAh (37Wh) z adapterem 18W: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 godz.Uwagi:① Wh = Całkowita pojemność energetyczna power banku② 80% = Szacowana wydajność ładowania. Część energii jest tracona podczas ładowania③ Rzeczywisty czas może się różnić","⚡Langzaam opladen? – Laten we kijken of we dit snel kunnen oplossen.💡 Een korte opmerking over laadsnelhedenOnder hetzelfde laadprotocol wordt je laadsnelheid bepaald door het apparaat met de laagste maximale snelheid.Als je telefoon bijvoorbeeld 20W ondersteunt en je powerbank 45W, zal je telefoon met 20W opladen om de batterij te beschermen.1. Als de powerbank een telefoon niet snel kan opladen: 1) Probeer een andere kabel en USB-poort2) Geschatte oplaadtijd (uur) ≈ (Batterijcapaciteit (mAh) ÷ 1000 × 3,85V) ÷ Laadvermogen (W) + 0,5 uurVoorbeeld: Een iPhone 12 heeft 2.815 mAh en ondersteunt tot 20W bekabeld laden. Zelfs met een 45W powerbank kan de telefoon slechts tot 20W laden.Geschatte tijd: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 uurOpmerkingen:① 3,85V = Typische spanning van een smartphonebatterij② Laadvermogen (W) = Het maximale laadvermogen ondersteund door je telefoon③ De werkelijke tijd kan variëren afhankelijk van telefoon, kabel, batterijniveau, temperatuur, enz.1. Als de powerbank zelf niet snel kan worden opgeladen:1) Gebruik een 18W+ adapter en een andere kabel om hem opnieuw op te laden2) Geschatte oplaadtijd (uur) ≈ Powerbank-energie (Wh) ÷ (Adaptervermogen (W) × 80%) + 0,5 uurVoorbeeld: een 10.000mAh (37Wh) powerbank met 18W adapter: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 uurOpmerkingen:① Wh = Totale energiecapaciteit van de powerbank② 80% = Geschatte laadefficiëntie. Een deel van de energie gaat verloren tijdens het laden③ De werkelijke tijd kan variëren","⚡Luchtú mall? – Féachaimis an féidir linn é seo a réiteach go tapa.💡 Nóta Gasta ar Luasanna LuchtaitheFaoin bprótacal luchtaithe céanna, socraítear do luas luchtaithe ag an ngléas leis an luas uasta is ísle.Mar shampla, má thacaíonn do ghuthán le 20W agus do bhanc cumhachta le 45W, luchtóidh do ghuthán ag 20W chun a cheallra a chosaint.1. Mura féidir leis an mbanc cumhachta guthán a luchtú go tapa: 1) Bain triail as cábla agus port USB eile2) Am Luchtaithe Measta (uaireanta) ≈ (Toilleadh Ceallraí (mAh) ÷ 1000 × 3,85V) ÷ Cumhacht Luchtaithe (W) + 0.5 uairSampla: Tá toilleadh 2,815 mAh ag iPhone 12 agus tacaíonn sé le suas le 20W luchtaithe sreinge. Fiú le banc cumhachta 45W, ní fhéadfaidh an guthán luchtú ach ag 20W.Am measta: 2,815 ÷ 1,000 × 3.85 ÷ 20 + 0.5 ≈ 1 uairNótaí:① 3.85V = Gnáthvoltas ceallraí fóin chliste② Cumhacht Luchtaithe (W) = An chumhacht luchtaithe uasta a thacaíonn do ghuthán léi③ Féadfaidh an t-am iarbhír a bheith éagsúil ag brath ar ghuthán, cábla, leibhéal ceallraí, teocht, etc.1. Mura féidir an banc cumhachta féin a luchtú go tapa:1) Úsáid cuibheoir 18W+ agus cábla eile chun é a athluchtú2) Am Athluchtaithe Measta (uaireanta) ≈ Fuinneamh (Wh) ÷ (Cumhacht Cuibheora (W) × 80%) + 0.5 uairSampla: banc cumhachta 10,000mAh (37Wh) le cuibheoir 18W: 37Wh ÷ (18W × 80%) + 0.5 ≈ 3 uairNótaí:① Wh = Toilleadh fuinnimh iomlán an bhainc chumhachta② 80% = Éifeachtúlacht luchtaithe mheasta. Cailltear roinnt fuinnimh le linn an phróisis③ Féadfaidh an t-am iarbhír a bheith éagsúil","⚡充電が遅い？––すぐに解決できるか確認しましょう。💡 充電速度に関する簡単な注意事項同じ充電プロトコルでは、充電速度は最大速度が最も低いデバイスによって決まります。例えば、お使いのスマートフォンが20Wに対応し、モバイルバッテリーが45Wに対応している場合、スマートフォンはバッテリー保護のため20Wで充電されます。1. モバイルバッテリーがスマートフォンを急速充電できない場合： 1) 別のケーブルとUSB出力ポートを試す2) 推定充電時間（時間）≈（バッテリー容量（mAh）÷ 1000 × 3.85V）÷ 充電電力（W）+ 0.5時間例：iPhone 12のバッテリー容量は2,815 mAhで、最大20Wの有線充電に対応。45Wのモバイルバッテリーを使用しても、スマートフォンは最大20Wでしか充電できません。推定充電時間：2,815 ÷ 1,000 × 3.85 ÷ 20 + 0.5 ≈ 1時間注意事項：① 3.85V = スマートフォンバッテリーの標準電圧② 充電電力（W）= お使いのスマートフォンが対応する最大充電電力③ 実際の充電時間は、スマートフォン、ケーブル、バッテリー残量、温度、その他の充電条件によって異なります1. モバイルバッテリー自体が急速充電できない場合：1) 18W以上のアダプターと別のケーブルを使用して再充電する2) 推定再充電時間（時間）≈ モバイルバッテリーエネルギー（Wh）÷（アダプター電力（W）× 80%）+ 0.5時間例：10,000mAh（37Wh）のモバイルバッテリーを18Wアダプターで充電する場合：37Wh ÷（18W × 80%）+ 0.5 ≈ 3時間注意事項：① Wh（ワット時）= モバイルバッテリーの総エネルギー容量② 80% = 推定充電効率。充電プロセス中に一部のエネルギーが失われます③ 実際の充電時間は、アダプター、ケーブル、モバイルバッテリー、温度、その他の充電条件によって異なります","⚡شحن بطيء؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.💡 ملاحظة سريعة حول سرعات الشحنبموجب نفس بروتوكول الشحن، يتم تحديد سرعة الشحن بواسطة الجهاز صاحب أقل سرعة قصوى.على سبيل المثال، إذا كان هاتفك يدعم 20W وبنك الطاقة يدعم 45W، فسيشحن هاتفك بقدرة 20W لحماية بطاريته.1. إذا كان بنك الطاقة لا يمكنه شحن الهاتف بسرعة: 1) جرب كابل ومنفذ USB آخرين2) وقت الشحن المقدر (ساعات) ≈ (سعة البطارية (mAh) ÷ 1000 × 3.85V) ÷ طاقة الشحن (W) + 0.5 ساعةمثال: iPhone 12 بسعة بطارية 2,815 mAh ويدعم حتى 20W شحن سلكي. حتى مع بنك طاقة 45W، يمكن للهاتف الشحن بقدرة 20W فقط.الوقت المقدر: 2,815 ÷ 1,000 × 3.85 ÷ 20 + 0.5 ≈ ساعة واحدةملاحظات:① 3.85V = الجهد النموذجي لبطارية الهاتف الذكي② طاقة الشحن (W) = أقصى طاقة شحن يدعمها هاتفك③ قد يختلف وقت الشحن الفعلي حسب الهاتف والكابل ومستوى البطارية ودرجة الحرارة وظروف الشحن الأخرى1. إذا كان بنك الطاقة نفسه لا يمكن شحنه بسرعة:1) استخدم محول 18W أو أعلى وكابل آخر لإعادة شحنه2) وقت إعادة الشحن المقدر (ساعات) ≈ طاقة بنك الطاقة (Wh) ÷ (طاقة المحول (W) × 80%) + 0.5 ساعةمثال: بنك طاقة 10,000mAh (37Wh) مع محول 18W: 37Wh ÷ (18W × 80%) + 0.5 ≈ 3 ساعاتملاحظات:① Wh = سعة الطاقة الإجمالية لبنك الطاقة② 80% = كفاءة شحن مقدرة. يتم فقد بعض الطاقة أثناء عملية الشحن③ قد يختلف وقت الشحن الفعلي حسب المحول والكابل وبنك الطاقة ودرجة الحرارة وظروف الشحن الأخرى","⚡Carregamento lento? – Vamos ver se podemos resolver isso rapidamente.💡 Uma nota rápida sobre velocidades de carregamentoSob o mesmo protocolo de carregamento, sua velocidade é determinada pelo dispositivo com a menor velocidade máxima.Por exemplo, se seu telefone suporta 20W e seu power bank 45W, seu telefone carregará a 20W para proteger sua bateria.1. Se o power bank não consegue carregar rapidamente um telefone: 1) Tente outro cabo e porta USB2) Tempo estimado de carregamento (horas) ≈ (Capacidade da bateria (mAh) ÷ 1000 × 3,85V) ÷ Potência de carregamento (W) + 0,5 horaExemplo: Um iPhone 12 tem 2.815 mAh e suporta até 20W de carregamento com fio. Mesmo com um power bank de 45W, o telefone só pode carregar a até 20W.Tempo estimado: 2.815 ÷ 1.000 × 3,85 ÷ 20 + 0,5 ≈ 1 horaNotas:① 3,85V = Tensão típica de bateria de smartphone② Potência de carregamento (W) = Potência máxima suportada pelo seu telefone③ O tempo real pode variar dependendo do telefone, cabo, nível da bateria, temperatura, etc.1. Se o próprio power bank não puder ser carregado rapidamente:1) Use um adaptador de 18W+ e outro cabo para recarregá-lo2) Tempo estimado de recarga (horas) ≈ Energia do power bank (Wh) ÷ (Potência do adaptador (W) × 80%) + 0,5 horaExemplo: power bank de 10.000mAh (37Wh) com adaptador de 18W: 37Wh ÷ (18W × 80%) + 0,5 ≈ 3 horasNotas:① Wh = Capacidade total de energia do power bank② 80% = Eficiência de carregamento estimada. Parte da energia é perdida durante o carregamento③ O tempo real pode variar"
售后,Hassle‑Free Returns,Problemlose Rückgabe,Resi senza problemi,Devoluciones sin complicaciones,Retours sans tracas,Bezproblemowe zwroty,Probleemloos retourneren,Filleadh gan stró,手間のかからない返品,إرجاع بدون متاعب,Devoluções sem complicações
说明,💡 Find your tracking number in your order details and Track your order now on the INIU website.,💡 Finden Sie Ihre Sendungsnummer in Ihren Bestelldetails und verfolgen Sie Ihre Bestellung jetzt auf der INIU-Website.,💡 Trova il numero di tracciamento nei dettagli dell'ordine e traccia subito il tuo ordine sul sito INIU.,💡 Encuentra tu número de seguimiento en los detalles del pedido y rastrea tu pedido ahora en el sitio web de INIU.,💡 Trouvez votre numéro de suivi dans les détails de votre commande et suivez votre commande dès maintenant sur le site INIU.,💡 Znajdź numer śledzenia w szczegółach zamówienia i śledź zamówienie teraz na stronie INIU.,💡 Vind je trackingnummer in je bestelgegevens en volg je bestelling nu op de INIU-website.,💡 Faigh d'uimhir rianaithe i sonraí d'ordaithe agus rianaigh d'ordú anois ar shuíomh gréasáin INIU.,💡 注文詳細で追跡番号を確認し、INIUのウェブサイトで今すぐ注文を追跡できます。,💡 ابحث عن رقم التتبع في تفاصيل طلبك وتتبع طلبك الآن على موقع INIU.,💡 Encontre seu número de rastreamento nos detalhes do pedido e rastreie seu pedido agora no site da INIU.
说明,💡 For orders not yet shipped only.,💡 Nur für noch nicht versandte Bestellungen.,💡 Solo per ordini non ancora spediti.,💡 Solo para pedidos que aún no se han enviado.,💡 Uniquement pour les commandes non encore expédiées.,💡 Tylko dla zamówień jeszcze niewysłanych.,💡 Alleen voor bestellingen die nog niet zijn verzonden.,💡 Le haghaidh orduithe nár seoladh go fóill amháin.,💡 未発送の注文のみ対象です。,💡 للطلبات التي لم يتم شحنها بعد فقط.,💡 Somente para pedidos ainda não enviados.
故障排查,⚡Battery / Display Issue? - Let's see if we can fix this quickly.· Use a different cable and wall charger to fully recharge your power bank and check the battery indicator again,"⚡Batterie-/Displayproblem? – Lassen Sie uns sehen, ob wir das schnell beheben können.· Verwenden Sie ein anderes Kabel und Wandladegerät, um Ihre Powerbank vollständig aufzuladen, und prüfen Sie die Batterieanzeige erneut",⚡Problema batteria/display? – Vediamo se possiamo risolverlo rapidamente.· Usa un cavo e un caricatore da parete diversi per ricaricare completamente il power bank e controlla di nuovo l'indicatore della batteria,⚡¿Problema de batería/pantalla? – Veamos si podemos solucionarlo rápidamente.· Usa otro cable y cargador de pared para recargar completamente tu batería externa y revisa el indicador de nuevo,⚡Problème de batterie/écran ? – Voyons si nous pouvons résoudre cela rapidement.· Utilisez un autre câble et chargeur mural pour recharger complètement votre batterie externe et vérifiez à nouveau l'indicateur,"⚡Problem z baterią/wyświetlaczem? – Sprawdźmy, czy możemy to szybko naprawić.· Użyj innego kabla i ładowarki ściennej, aby w pełni naładować power bank, i sprawdź wskaźnik baterii ponownie",⚡Batterij-/displayprobleem? – Laten we kijken of we dit snel kunnen oplossen.· Gebruik een andere kabel en wandoplader om je powerbank volledig op te laden en controleer de batterij-indicator opnieuw,⚡Fadhb ceallraí/taispeána? – Féachaimis an féidir linn é seo a réiteach go tapa.· Úsáid cábla agus luchtaire balla eile chun do bhanc cumhachta a athluchtú go hiomlán agus seiceáil an táscaire ceallraí arís,⚡バッテリー/画面の問題？–すぐに解決できるか確認しましょう。· 別のケーブルと壁掛け充電器を使用してモバイルバッテリーを完全に充電し、バッテリーインジケーターを再度確認する,⚡مشكلة في البطارية/الشاشة؟ – دعنا نرى ما إذا كان يمكننا إصلاح ذلك بسرعة.· استخدم كابلًا وشاحنًا جداريًا مختلفين لإعادة شحن بنك الطاقة بالكامل وتحقق من مؤشر البطارية مرة أخرى,⚡Problema de bateria/tela? – Vamos ver se podemos resolver isso rapidamente.· Use outro cabo e carregador de parede para recarregar totalmente o power bank e verifique o indicador de bateria novamente
故障,Wireless charger issues,Probleme mit kabellosem Ladegerät,Problemi con caricabatterie wireless,Problemas con cargador inalámbrico,Problèmes de chargeur sans fil,Problemy z ładowarką bezprzewodową,Problemen met draadloze oplader,Fadhbanna le luchtaire gan sreang,ワイヤレス充電器の問題,مشاكل الشاحن اللاسلكي,Problemas com carregador sem fio
故障,Compability issue,Kompatibilitätsproblem,Problema di compatibilità,Problema de compatibilidad,Problème de compatibilité,Problem ze zgodnością,Compatibiliteitsprobleem,Fadhb comhoiriúnachta,互換性の問題,مشكلة التوافق,Problema de compatibilidade
故障,Indicator light issue,Problem mit Anzeigelampe,Problema con la luce indicatore,Problema con la luz indicadora,Problème de voyant lumineux,Problem ze wskaźnikiem świetlnym,Probleem met indicatorlampje,Fadhb leis an solas táscaire,インジケーターライトの問題,مشكلة ضوء المؤشر,Problema com a luz indicadora
故障,Physical damage,Physischer Schaden,Danno fisico,Daño físico,Dommage physique,Uszkodzenie fizyczne,Fysieke schade,Damáiste fisiciúil,物理的損傷,ضرر مادي,Dano físico
故障,Strange noise,Seltsames Geräusch,Rumore strano,Ruido extraño,Bruit étrange,Dziwny dźwięk,Vreemd geluid,Torann aisteach,異音,ضوضاء غريبة,Ruído estranho
